round,year.month.spp,model.spp.gr,model.spp.gr.sample,model.spp.bins5lfm_gr,individual.bins5lfm_gr,model.spp.bins5lfm_gr_nodate,individual.bins5lfm_gr_nodate,model.spp.bins10lfm_gr_nodate,individual.bins10lfm_gr_nodate,spp,individual,model,mpa,lfm,lfm.notes,fh,ttfg,gti,tti,fd,gd,pfg,ignition,start.temp,temp.max,ignition.temp,prop.new,sample.wt,glow,year.month,year,month,dry.wt,fresh.wt,water.wt,site,lfm.outliers.out,sample,lfm.NAs.imputed,temp.change,gr,precip.2month,precip.2mo,season,prop.ignite,bins5lfm_gr,prop.ignite.bins5,prop.ignite.bins5_nodate,bins10lfm_gr,prop.ignite.bins10_nodate,hydration,bins20lfm_gr,gdw.gfw,gww.gdw,gdw.gww,dw.flam.sample,ww.flam.sample,ww.outs,dw.outs,tti.outs,gti.outs,gd.outs,fd.outs,pfg.outs,fh.outs,temp.max.outs,ignition.temp.outs,mean.wt,dry.norm.fh,dry.norm.gd,dry.norm.fd,dry.norm.pfg,dry.norm.ttfg,dry.norm.tti,dry.norm.gti,flam.index,LFM,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8
1,2019_December_CEME,"2019_December_EPI_CEME_(90,100]","2019_December_EPI_CEME_(90,100]_1.4.3","2019_December_EPI_CEME_(95,100]","2019_December_EPI_CEME_(95,100]_1.4.3","EPI_CEME_(95,100]","EPI_CEME_(95,100]_1.4.3","EPI_CEME_(90,100]","EPI_CEME_(90,100]_1.4.3",CEME,2019_December_CEME_1.4.3,EPI,-0.58,96.18380062,0,10,13,56,69,5,119,60,1,279.3,343.2,278.29999999999995,100,0.576,1,2019_December,2019,December,0.2568,0.5038,0.247,St. Marys,96.18380062,1.4.3,96.18380062,63.89999999999998,"(90,100]",2019_December,3.69,Wet,67,"(95,100]",67,80,"(90,100]",69,hydrated,"(80,100]",0.5097260817784834,0.9618380062,1.0396761133603238,0.2936022231044064,0.28239777689559353,0.28239777689559353,0.2936022231044064,69,NA,119,3,60,2,343.2,NA,0.5138111111111111,34.05968760816893,405.31028253721024,17.029843804084464,204.35812564901357,44.277593890619606,235.0118444963656,190.734250605746,13.705254995352565,96.18380062,-2.123334069803154,1.6285082934315707,-0.6514346713586585,-2.3490881611047563,0.30102242974827853,1.991033218906688,0.043405862093498226,0.08686723531085237
1,2019_December_CEME,"2019_December_EPI_CEME_(120,130]","2019_December_EPI_CEME_(120,130]_1.5.3","2019_December_EPI_CEME_(120,125]","2019_December_EPI_CEME_(120,125]_1.5.3","EPI_CEME_(120,125]","EPI_CEME_(120,125]_1.5.3","EPI_CEME_(120,130]","EPI_CEME_(120,130]_1.5.3",CEME,2019_December_CEME_1.5.3,EPI,-0.25,120.9012994,0,10,3,60,63,5,171,104,1,283.6,312.3,278.29999999999995,100,0.512,1,2019_December,2019,December,0.3617,0.799,0.4373,St. Marys,120.9012994,1.5.3,120.9012994,28.69999999999999,"(120,130]",2019_December,3.69,Wet,80,"(120,125]",80,86,"(120,130]",83,hydrated,"(120,140]",0.4526908635794744,1.209012994,0.8271209695860965,0.23177772215269088,0.28022227784730913,0.28022227784730913,0.23177772215269088,63,NA,171,7,104,5,312.3,NA,0.5138111111111111,43.144785042853194,737.7758242327895,21.572392521426597,448.7057644456732,12.943435512855958,271.8121457699751,258.8687102571191,14.094514060972717,120.9012994,-3.1976109146981386,0.4043979932711453,-2.6857193363011578,-1.1908211045173185,0.34109024058256976,1.3014451499449617,0.008011519208195561,-0.020461202396631954
1,2019_December_CEME,"2019_December_EPI_CEME_(220,230]","2019_December_EPI_CEME_(220,230]_1.8.3","2019_December_EPI_CEME_(220,225]","2019_December_EPI_CEME_(220,225]_1.8.3","EPI_CEME_(220,225]","EPI_CEME_(220,225]_1.8.3","EPI_CEME_(220,230]","EPI_CEME_(220,230]_1.8.3",CEME,2019_December_CEME_1.8.3,EPI,-0.317,224.1209333,0,10,9,27,36,5,128,93,1,265.3,300.70000000000005,278.29999999999995,100,0.584,1,2019_December,2019,December,0.1522,0.4932,0.341,St. Marys,NA,1.8.3,172.42027478645835,NA,"(220,230]",2019_December,3.69,Wet,50,"(220,225]",50,50,"(220,230]",50,hydrated,"(220,240]",0.3085969180859692,1.7242027478645836,0.44633431085043984,0.180220600162206,0.403779399837794,NA,0.180220600162206,36,27,128,8,93,7,NA,NA,0.5138111111111111,55.487552427411664,710.2406710708693,27.743776213705832,516.0342375749285,49.9387971846705,199.755188738682,149.81639155401152,15.447694857919174,172.42027478645835,-0.1537219421874559,0.34746979010622986,-0.9581930528480855,0.16779218623828748,0.08216540796520572,-0.29996794175673436,-0.017270560984110936,-0.07342186076350243
3,2019_December_CEME,"2019_December_EPI_CEME_(140,150]","2019_December_EPI_CEME_(140,150]_1.4.3","2019_December_EPI_CEME_(145,150]","2019_December_EPI_CEME_(145,150]_1.4.3","EPI_CEME_(145,150]","EPI_CEME_(145,150]_1.4.3","EPI_CEME_(140,150]","EPI_CEME_(140,150]_1.4.3",CEME,2019_December_CEME_1.4.3,EPI,-2.98,147.9640844,0,13,23,32,55,12,114,70,1,265.7,273.6,278.29999999999995,100,0.56,1,2019_December,2019,December,0.2395,0.5938,0.3543,St. Marys,147.9640844,1.4.3,147.9640844,7.900000000000034,"(140,150]",2019_December,3.69,Wet,50,"(145,150]",33,33,"(140,150]",56,hydrated,"(140,160]",0.40333445604580664,1.479640844,0.675980807225515,0.22586729538565173,0.3341327046143483,0.3341327046143483,0.22586729538565173,55,32,114,12,70,13,273.6,NA,0.5138111111111111,57.555920071577695,504.7211452430659,53.128541604533254,309.9164926931107,101.82970474202207,243.50581568744408,141.676110945422,14.199664906474071,147.9640844,-0.4112501239270034,0.3669090676991396,0.6014440616781405,0.4332262397415899,0.21050331387928134,2.4504559782804294,0.03133621365134515,0.025244663616716748
4,2019_December_CEME,"2019_December_EPI_CEME_(70,80]","2019_December_EPI_CEME_(70,80]_1.4.3","2019_December_EPI_CEME_(75,80]","2019_December_EPI_CEME_(75,80]_1.4.3","EPI_CEME_(75,80]","EPI_CEME_(75,80]_1.4.3","EPI_CEME_(70,80]","EPI_CEME_(70,80]_1.4.3",CEME,2019_December_CEME_1.4.3,EPI,-8.87,77.59403372,0,13,12,33,45,10,150,107,1,267.4,288.6,278.29999999999995,100,0.573,1,2019_December,2019,December,0.3084,0.5477,0.2393,St. Marys,77.59403372,1.4.3,77.59403372,21.200000000000045,"(70,80]",2019_December,3.69,Wet,100,"(75,80]",100,94,"(70,80]",86,moderate,"(60,80]",0.5630819791856857,0.7759403372,1.2887588800668617,0.3226459740733979,0.25035402592660205,0.25035402592660205,0.3226459740733979,45,33,150,10,107,13,288.6,NA,0.5138111111111111,40.29184011154797,464.90584744093815,30.993723162729207,331.6328378412025,37.19246779527505,139.47175423228143,102.2792864370064,14.894708853348304,77.59403372,-0.8190590871684783,-0.7354459888468019,-1.1869437045005773,0.4957376693073762,0.3247116364775275,1.0912286573490506,0.012471759731306998,0.012103347689597787
4,2019_December_CEME,"2019_December_EPI_CEME_(20,30]","2019_December_EPI_CEME_(20,30]_1.6.3","2019_December_EPI_CEME_(25,30]","2019_December_EPI_CEME_(25,30]_1.6.3","EPI_CEME_(25,30]","EPI_CEME_(25,30]_1.6.3","EPI_CEME_(20,30]","EPI_CEME_(20,30]_1.6.3",CEME,2019_December_CEME_1.6.3,EPI,-10,28.49525435,0,12,13,26,39,5,142,111,1,276.9,282.1,278.29999999999995,100,0.532,1,2019_December,2019,December,0.4689,0.6025,0.1336,St. Marys,28.49525435,1.6.3,28.49525435,5.2000000000000455,"(20,30]",2019_December,3.69,Wet,100,"(25,30]",100,100,"(20,30]",100,dry,"(20,40]",0.7782572614107883,0.2849525435,3.5097305389221556,0.41403286307053944,0.1179671369294606,0.1179671369294606,0.41403286307053944,39,26,142,5,111,12,282.1,NA,0.5138111111111111,28.98320657690291,342.96794449335107,12.076336073709545,268.0946608363519,31.398473791644815,94.19542137493444,62.79694758328963,15.30412,28.49525435,-0.6535401444029315,-0.2697788576178899,-0.8258981026248862,0.8216306140506029,0.7035912118563216,-0.15458447608990147,-0.0024346058334203274,2.4433558897846776e-4
4,2019_December_CEME,"2019_December_EPI_CEME_(190,200]","2019_December_EPI_CEME_(190,200]_1.8.3","2019_December_EPI_CEME_(195,200]","2019_December_EPI_CEME_(195,200]_1.8.3","EPI_CEME_(195,200]","EPI_CEME_(195,200]_1.8.3","EPI_CEME_(190,200]","EPI_CEME_(190,200]_1.8.3",CEME,2019_December_CEME_1.8.3,EPI,-3.19,198.1234307,0,9,11,35,46,5,103,63,1,258.9,297.2,278.29999999999995,100,0.524,1,2019_December,2019,December,0.1892,0.564,0.3748,St. Marys,198.1234307,1.8.3,198.1234307,38.30000000000001,"(190,200]",2019_December,3.69,Wet,50,"(195,200]",100,100,"(190,200]",50,hydrated,"(180,200]",0.33546099290780146,1.981234307,0.5048025613660619,0.17578156028368797,0.34821843971631206,0.34821843971631206,0.17578156028368797,46,35,103,5,63,9,297.2,NA,0.5138111111111111,51.19990962348498,585.9545212465503,28.44439423526943,358.39936736439483,62.57766731759275,261.68842696447877,199.110759646886,15.019743007450804,198.1234307,-0.3094233685767139,1.6791240749377114,-0.4420240267522197,-0.4360931315883864,-0.12987969788745668,0.6664153731939674,0.017624506572694695,0.011843907670876785
5,2019_December_CEME,"2019_December_EPI_CEME_(70,80]","2019_December_EPI_CEME_(70,80]_1.4.3","2019_December_EPI_CEME_(70,75]","2019_December_EPI_CEME_(70,75]_1.4.3","EPI_CEME_(70,75]","EPI_CEME_(70,75]_1.4.3","EPI_CEME_(70,80]","EPI_CEME_(70,80]_1.4.3",CEME,2019_December_CEME_1.4.3,EPI,-8.01,74.32401727,0,13,16,41,57,7,148,100,1,269.9,276.9,278.29999999999995,100,0.534,1,2019_December,2019,December,0.4401,0.7672,0.3271,St. Marys,74.32401727,1.4.3,74.32401727,7,"(70,80]",2019_December,3.69,Wet,100,"(70,75]",100,77,"(70,80]",86,moderate,"(60,80]",0.5736444212721585,0.7432401727,1.3454601039437482,0.30632612095933265,0.22767387904066735,0.22767387904066735,0.30632612095933265,57,41,148,7,100,13,276.9,NA,0.5138111111111111,42.43843117030774,483.14521640042653,22.85146293785801,326.4494705408287,52.2319152865326,186.07619820827236,133.8442829217398,14.053521990609187,74.32401727,-1.8484382314862309,0.06598729262687972,-0.8109976239404271,0.27865167437878263,0.8714226810151118,1.508752483729944,0.016964725998544285,0.021974991531826856
5,2019_December_CEME,"2019_December_EPI_CEME_(110,120]","2019_December_EPI_CEME_(110,120]_1.6.3","2019_December_EPI_CEME_(115,120]","2019_December_EPI_CEME_(115,120]_1.6.3","EPI_CEME_(115,120]","EPI_CEME_(115,120]_1.6.3","EPI_CEME_(110,120]","EPI_CEME_(110,120]_1.6.3",CEME,2019_December_CEME_1.6.3,EPI,-3.752,118.5678601,0,9,32,11,43,8,145,126,1,273.8,285.5,278.29999999999995,100,0.594,1,2019_December,2019,December,0.3003,0.6563,0.356,St. Marys,118.5678601,1.6.3,118.5678601,11.699999999999989,"(110,120]",2019_December,3.69,Wet,100,"(115,120]",100,67,"(110,120]",79,hydrated,"(100,120]",0.4575651378942557,1.185678601,0.8435393258426968,0.27179369190918784,0.32220630809081213,0.32220630809081213,0.27179369190918784,43,11,145,8,126,9,285.5,NA,0.5138111111111111,33.11335129516948,533.4928819777306,29.43409004015065,463.5869181323727,117.7363601606026,158.20823396580974,40.471873805207146,15.141782542741298,118.5678601,-0.9617822259974781,-1.5591632953351053,1.6782139202682718,1.4894763429650368,0.2362959906464307,-0.24630331656155743,-0.002475128122272795,-0.004673880552499021
5,2019_December_CEME,"2019_December_EPI_CEME_(350,360]","2019_December_EPI_CEME_(350,360]_1.7.3","2019_December_EPI_CEME_(355,360]","2019_December_EPI_CEME_(355,360]_1.7.3","EPI_CEME_(355,360]","EPI_CEME_(355,360]_1.7.3","EPI_CEME_(350,360]","EPI_CEME_(350,360]_1.7.3",CEME,2019_December_CEME_1.7.3,EPI,-2.85,355.8661033,0,11,11,17,28,9,132,106,1,276.1,285.1,278.29999999999995,100,0.566,1,2019_December,2019,December,0.1539,0.7014,0.5475,St. Marys,NA,1.7.3,237.78092849553127,9,"(350,360]",2019_December,3.69,Wet,100,"(355,360]",100,100,"(350,360]",100,hydrated,"(340,360]",0.21941830624465355,2.3778092849553127,0.28109589041095895,0.1241907613344739,0.441809238665526,NA,NA,28,17,132,9,106,11,285.1,NA,0.5138111111111111,88.57341626543784,1062.880995185254,72.46915876263097,853.5256476487647,88.57341626543784,225.45960503929632,136.8861887738585,15.92811732064889,237.78092849553127,0.5941355664289341,-0.6625294385481966,-0.7597275968815226,1.1514142545924408,-0.16816246651973782,-0.2630194384291601,-1.9171048530235255e-4,-0.008326747828606554
