id,PC1,PC2,PC3,mpa,lfm,ww.flam.sample,dw.flam.sample,site,sample.wt,spp,tti,fh,fd,gd,gti,pfg,temp.max,year.month,prop.ignite.bins10_nodate,prop.ignite.bins5_nodate,ttfg,gr
"2016_December_EPI_ADFA_(100,110]_2",2.5299330226729,0.831937093763153,-0.8945385187603555,-4.1,106.0773481,0.23523860589812332,0.2217613941018767,St. Marys,0.457,ADFA,19,11,8,85,16,61,328.5,2016_December,78,80,3,"(100,110]"
"2016_December_EPI_ADFA_(100,110]_3",2.601184737171363,1.3660281617851422,0.12740768954067627,-4,102.5641026,0.2516455696202532,0.24535443037974683,St. Marys,0.497,ADFA,24,16,4,72,12,56,298.8,2016_December,78,75,12,"(100,110]"
"2016_December_EPI_ADFA_(100,110]_4",0.8878279639545151,0.7482238217208692,-0.12902035256156694,-0.8,106.3829787,0.2639175257731959,0.24808247422680413,St. Marys,0.512,ADFA,31,10,5,102,19,78,306,2016_December,78,80,12,"(100,110]"
"2016_December_EPI_ADFA_(110,120]_1",2.842479122064951,-0.06593780333953536,-0.477051299081397,-4.2,112.6252505,0.2775570216776626,0.24644297832233744,St. Marys,0.524,ADFA,20,15,7,88,13,68,380,2016_December,100,100,7,"(110,120]"
"2016_December_EPI_ADFA_(110,120]_1",2.7059654490925276,0.13961693878015563,0.4885167607321558,-4.7,114.4508671,0.27164959568733155,0.2373504043126685,St. Marys,0.509,ADFA,24,15,11,84,8,65,294.3,2016_December,100,100,16,"(110,120]"
"2016_December_EPI_ADFA_(110,120]_2",3.499181754789177,0.33944706367823324,0.258898766534873,-8.4,112.5,0.25623529411764706,0.22776470588235292,St. Marys,0.484,ADFA,16,17,6,73,4,63,337.5,2016_December,100,100,12,"(110,120]"
"2016_December_EPI_ADFA_(110,120]_3",0.5771850888131023,1.7253796691447674,0.5889396210910207,-0.6,112.4,0.25824482109227875,0.2297551789077213,St. Marys,0.488,ADFA,40,7,5,83,25,53,321.7,2016_December,100,100,15,"(110,120]"
"2016_December_EPI_ADFA_(120,130]_1",-1.3858898791672567,0.8079306636197233,-0.2888861110117563,-0.5,89.44374563023983,0.2785976470588235,0.2274023529411765,St. Marys,0.506,ADFA,45,8,1,131,30,100,287.8,2016_December,100,100,15,"(120,130]"
"2016_December_EPI_ADFA_(120,130]_2",1.5762367840892664,0.7492866141880001,0.2185516408932879,-4.5,88.56695784598281,0.2689431818181818,0.2140568181818182,St. Marys,0.483,ADFA,26,8,7,90,14,69,318,2016_December,100,100,12,"(120,130]"
"2016_December_EPI_ADFA_(130,140]_2",2.8352356947440938,0.8483132963093212,1.7217677882666635,-1,90.37618216130936,0.273046357615894,0.20195364238410596,St. Marys,0.475,ADFA,27,14,6,61,5,50,337.4,2016_December,100,100,22,"(130,140]"
"2016_December_EPI_ADFA_(130,140]_3",-0.35731646717714777,2.31952874772326,0.2057452252708944,-0.4,95.82993884684646,0.27099999999999996,0.2,St. Marys,0.471,ADFA,44,7,1,92,30,61,287.9,2016_December,100,100,14,"(130,140]"
"2016_December_EPI_ADFA_(130,140]_3",0.5699098458751615,1.129836119995032,0.04407913913674044,-0.7,92.929897045546,0.277468085106383,0.20553191489361705,St. Marys,0.483,ADFA,35,11,3,100,21,76,294.5,2016_December,100,100,14,"(130,140]"
"2016_December_EPI_ADFA_(140,150]_2",0.7622571925536048,2.060461017575726,-0.07255463943229412,-0.6,98.27882107945943,0.31589439655172413,0.21710560344827587,St. Marys,0.533,ADFA,34,8,2,84,24,58,306,2016_December,100,100,10,"(140,150]"
"2016_December_EPI_ADFA_(150,160]_1",1.7448648857498943,1.0739096842576312,-1.0003325596589885,-0.3,94.74277725864228,0.302058981233244,0.189941018766756,St. Marys,0.492,ADFA,28,15,6,94,22,66,292.8,2016_December,100,100,6,"(150,160]"
